scientificName,Name,Conservation,Low,High,Order,Redlist,Trend,Threat,Habitat,Redlist2,
Hexanchus griseus,Bluntnose Sixgill Shark,null,0,2490,HEXANCHIFORMES,4,Decreasing,Biological resource use,Deep Benthic,Near Threatened,
Somniosus pacificus,Pacific Sleeper Shark,"Land/water protection, Species management",0,2008,SQUALIFORMES,4,Decreasing,Biological resource use,"Neritic, Oceanic, Deep Benthic, Intertidal",Near Threatened,
Etmopterus pusillus,Smooth Lanternshark,null,0,1998,SQUALIFORMES,5,Stable,Biological resource use,"Oceanic, Deep Benthic",Least Concern,
Etmopterus lucifer,Blackbelly Lanternshark,Species management,158,1357,SQUALIFORMES,5,Unknown,Biological resource use,"Oceanic, Deep Benthic",Least Concern,
Carcharhinus altimus,Bignose Shark,"Land/water protection, Species management",0,810,CARCHARHINIFORMES,4,Decreasing,Biological resource use,"Neritic, Oceanic, Deep Benthic",Near Threatened,
Alopias superciliosus,Bigeye Thresher,"Land/water protection, Species management",0,955,LAMNIFORMES,3,Decreasing,Biological resource use,"Neritic, Oceanic",Vulnerable,
Pteroplatytrygon violacea,Pelagic Stingray,Species management,0,381,MYLIOBATIFORMES,5,Unknown,Biological resource use,Oceanic,Least Concern,
Rhincodon typus,Whale Shark,"Land/water protection, Species management, Education & awareness, Law & policy",0,1928,ORECTOLOBIFORMES,2,Decreasing,"Energy production & mining, Biological resource use, Human intrusions & disturbance, Transportation & service corridors","Oceanic, Neritic",Endangered,
Rhynchobatus palpebratus,Eyebrow Wedgefish,"Land/water protection, Land/water management, Species management, Education & awareness, Law & policy",5,60,RHINOPRISTIFORMES,4,Decreasing,Biological resource use,Neritic,Near Threatened,
Squalus suckleyi,North Pacific Spiny Dogfish,Species management,0,1236,SQUALIFORMES,5,Stable,Biological resource use,"Neritic, Oceanic, Deep Benthic",Least Concern,
Carcharhinus limbatus,Blacktip Shark,"Land/water protection, Species management, Law & policy",0,140,CARCHARHINIFORMES,3,Decreasing,"Biological resource use, Residential & commercial development, Climate change & severe weather","Oceanic, Neritic",Vulnerable,
Carcharhinus obscurus,Dusky Shark,"Land/water protection, Species management",0,500,CARCHARHINIFORMES,2,Decreasing,Biological resource use,"Oceanic, Neritic",Endangered,
Carcharhinus plumbeus,Sandbar Shark,"Land/water protection, Species management, Law & policy",0,280,CARCHARHINIFORMES,2,Decreasing,"Biological resource use, Residential & commercial development","Deep Benthic, Neritic",Endangered,
Carcharias taurus,Sand Tiger Shark,"Land/water protection, Species management, Law & policy",0,232,LAMNIFORMES,1,Decreasing,"Biological resource use, Residential & commercial development, Climate change & severe weather","Neritic, Deep Benthic",Critically Endangered,
Notorynchus cepedianus,Broadnose Sevengill Shark,"Land/water protection, Species management, Law & policy",0,570,HEXANCHIFORMES,3,Decreasing,Biological resource use,"Deep Benthic, Neritic",Vulnerable,
Centrophorus granulosus,Gulper Shark,Law & policy,98,1500,SQUALIFORMES,2,Decreasing,Biological resource use,Deep Benthic,Endangered,
Isurus oxyrinchus,Shortfin Mako,"Land/water protection, Species management",0,888,LAMNIFORMES,2,Decreasing,Biological resource use,Oceanic,Endangered,
Carcharhinus brevipinna,Spinner Shark,"Land/water protection, Species management, Law & policy",0,200,CARCHARHINIFORMES,3,Decreasing,Biological resource use,Neritic,Vulnerable,
Carcharhinus leucas,Bull Shark,"Land/water protection, Species management, Law & policy",0,164,CARCHARHINIFORMES,3,Decreasing,"Biological resource use, Residential & commercial development, Climate change & severe weather","Wetlands£¨inland£©, Neritic, Coastal/Supratidal",Vulnerable,
Carcharhinus longimanus,Oceanic Whitetip Shark,"Land/water protection, Species management",0,1082,CARCHARHINIFORMES,1,Decreasing,Biological resource use,"Neritic, Oceanic",Critically Endangered,
Galeocerdo cuvier,Tiger Shark,"Land/water protection, Land/water management, Species management, Law & policy",0,1136,CARCHARHINIFORMES,4,Decreasing,Biological resource use,"Neritic, Oceanic",Near Threatened,
Prionace glauca,Blue Shark,Species management,0,1000,CARCHARHINIFORMES,4,Decreasing,Biological resource use,"Neritic, Oceanic",Near Threatened,
Sphyrna lewini,Scalloped Hammerhead,"Land/water protection, Species management",0,1043,CARCHARHINIFORMES,1,Decreasing,Biological resource use,"Neritic, Oceanic",Critically Endangered,
Sphyrna mokarran,Great Hammerhead,"Land/water protection, Species management",0,300,CARCHARHINIFORMES,1,Decreasing,Biological resource use,"Neritic, Oceanic",Critically Endangered,
Sphyrna zygaena,Smooth Hammerhead,"Land/water protection, Species management",1,200,CARCHARHINIFORMES,3,Decreasing,Biological resource use,"Neritic, Oceanic",Vulnerable,
Carcharhinus brachyurus,Copper Shark,"Land/water protection, Species management",1,145,CARCHARHINIFORMES,3,Decreasing,"Residential & commercial development, Biological resource use","Neritic, Oceanic",Vulnerable,
Heptranchias perlo,Sharpnose Sevengill Shark,"Land/water protection, Species management",0,1000,HEXANCHIFORMES,4,Decreasing,Biological resource use,"Neritic, Oceanic, Deep Benthic",Near Threatened,
Isistius brasiliensis,Cookie-cutter Shark,null,0,3500,SQUALIFORMES,5,Unknown,Biological resource use,Oceanic,Least Concern,
Squalus mitsukurii,Shortspine Spurdog,Law & policy,22,640,SQUALIFORMES,2,Decreasing,Biological resource use,Deep Benthic,Endangered,
Mitsukurina owstoni,Goblin Shark,null,0,1300,LAMNIFORMES,5,Unknown,Biological resource use,"Oceanic, Deep Benthic",Least Concern,
Pseudotriakis microdon,False Catshark,null,100,1890,CARCHARHINIFORMES,5,Unknown,Biological resource use,Deep Benthic,Least Concern,
Harriotta raleighana,Narrownose Chimaera,Species management,350,2600,CHIMAERIFORMES,5,Stable,Biological resource use,Deep Benthic,Least Concern,
